c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment
42,Customer#000000042,Addr1152,14,89-676-202-2200,4913.98,MACHINERY
43,Customer#000000043,Addr5345,4,54-170-350-7054,2134.87,HOUSEHOLD
44,Customer#000000044,Addr9900,22,48-726-926-9666,-913.94,MACHINERY
45,Customer#000000045,Addr5905,21,23-999-237-5333,269.72,AUTOMOBILE
46,Customer#000000046,Addr3546,8,46-719-315-6617,1239.58,FURNITURE
47,Customer#000000047,Addr9280,15,42-966-152-2512,5977.13,FURNITURE
48,Customer#000000048,Addr1722,0,52-889-233-5291,777.41,HOUSEHOLD
49,Customer#000000049,Addr8007,17,11-214-177-3442,5001.49,FURNITURE
50,Customer#000000050,Addr3426,13,26-142-415-6974,8888.79,AUTOMOBILE
51,Customer#000000051,Addr6862,6,97-355-782-2684,2890.47,MACHINERY
52,Customer#000000052,Addr7658,19,29-342-985-3662,9738.26,BUILDING
53,Customer#000000053,Addr7755,0,32-854-440-7745,7824.58,BUILDING
54,Customer#000000054,Addr5371,5,99-210-491-1634,8444.52,BUILDING
55,Customer#000000055,Addr4269,14,54-412-940-4728,1452.16,BUILDING
56,Customer#000000056,Addr7528,10,45-985-171-5573,2862.61,MACHINERY
57,Customer#000000057,Addr7548,21,78-439-128-2889,8647.41,FURNITURE
58,Customer#000000058,Addr3925,18,43-139-211-8119,2802.56,FURNITURE
59,Customer#000000059,Addr8149,19,75-218-494-4114,1801.95,HOUSEHOLD
60,Customer#000000060,Addr1027,16,78-803-836-4228,3006.44,AUTOMOBILE
61,Customer#000000061,Addr6409,19,50-779-968-3041,6917.29,FURNITURE
62,Customer#000000062,Addr9308,9,95-518-434-7592,6669.29,MACHINERY
63,Customer#000000063,Addr3085,6,63-780-488-3851,5770.66,FURNITURE
64,Customer#000000064,Addr7653,17,10-411-393-4443,3728.77,MACHINERY
65,Customer#000000065,Addr6279,14,66-552-791-4501,4622.91,BUILDING
66,Customer#000000066,Addr2389,9,75-779-748-6491,27.27,BUILDING
67,Customer#000000067,Addr6085,7,35-250-125-1757,1693.27,HOUSEHOLD
68,Customer#000000068,Addr2193,14,63-744-689-4185,6901.8,HOUSEHOLD
69,Customer#000000069,Addr9099,12,41-251-771-1090,8819.25,AUTOMOBILE
70,Customer#000000070,Addr7965,7,32-923-812-9486,4110.05,MACHINERY
71,Customer#000000071,Addr5082,3,68-236-920-8612,6343.35,MACHINERY
72,Customer#000000072,Addr6198,24,66-727-934-9270,3694.15,MACHINERY
73,Customer#000000073,Addr8305,5,70-560-365-5050,8238.48,FURNITURE
74,Customer#000000074,Addr9540,15,90-344-381-8206,-147.67,FURNITURE
75,Customer#000000075,Addr4841,8,52-427-653-2320,522.12,BUILDING
76,Customer#000000076,Addr7275,22,29-823-319-2052,3563.55,FURNITURE
77,Customer#000000077,Addr9890,14,63-163-311-7883,3284.25,MACHINERY
78,Customer#000000078,Addr1320,24,83-489-588-1096,9370.15,FURNITURE
79,Customer#000000079,Addr7389,13,78-865-852-9947,7798.54,BUILDING
80,Customer#000000080,Addr8999,7,44-546-597-1475,3277.43,HOUSEHOLD
81,Customer#000000081,Addr3704,14,26-737-646-1441,8976.21,MACHINERY
82,Customer#000000082,Addr1444,2,92-538-238-8564,999.03,FURNITURE
83,Customer#000000083,Addr7211,10,37-565-434-6529,7373.52,HOUSEHOLD
84,Customer#000000084,Addr5558,24,63-358-954-2341,4173.38,MACHINERY
85,Customer#000000085,Addr1853,11,38-765-170-1659,7296.56,BUILDING
86,Customer#000000086,Addr4266,0,89-256-344-3068,4209.17,AUTOMOBILE
87,Customer#000000087,Addr4571,14,99-362-885-7043,845.69,MACHINERY
88,Customer#000000088,Addr2876,24,30-418-210-1420,9217.75,MACHINERY
89,Customer#000000089,Addr7149,12,35-177-706-4978,120.92,FURNITURE
90,Customer#000000090,Addr2983,18,15-455-645-8018,6276.73,AUTOMOBILE
91,Customer#000000091,Addr9289,20,53-112-969-7882,8045.63,AUTOMOBILE
92,Customer#000000092,Addr8102,11,91-948-570-3506,3790.36,MACHINERY
93,Customer#000000093,Addr5425,19,78-893-595-8616,3791.32,MACHINERY
94,Customer#000000094,Addr5397,10,41-950-188-5569,8697.94,BUILDING
95,Customer#000000095,Addr8613,18,88-784-488-6511,-684.29,FURNITURE
96,Customer#000000096,Addr3979,15,37-463-916-5232,2743.73,MACHINERY
97,Customer#000000097,Addr5526,17,11-629-295-2402,1654.92,HOUSEHOLD
98,Customer#000000098,Addr9004,17,40-807-587-9041,3929.92,AUTOMOBILE
99,Customer#000000099,Addr2524,9,38-514-808-4986,2368.27,MACHINERY
100,Customer#000000100,Addr7046,15,80-643-452-7971,9962.94,MACHINERY
